Crop Type,Yield Records,Crop Rotation History,Responses to Conditions,Historical yield data,Crop growth stages,Crop-specific responses,Water usage,Input usage,Harvest quality measures
Wheat,89,Sorghum-Rye,Dry,81,1,High,3107,Low,6
Barley,83,Sorghum-Rye,Wet,50,4,High,3564,Low,1
Sorghum,87,Wheat-Barley,Wet,52,1,Medium,1372,Low,4
Wheat,72,Corn-Soybeans,Dry,94,3,Medium,2436,High,4
Soybeans,96,Sorghum-Rye,Normal,54,5,Low,1825,Medium,8
Soybeans,54,Corn-Soybeans,Normal,65,2,High,3547,Low,7
Soybeans,83,Wheat-Barley,Wet,76,5,Medium,3742,Medium,4
Soybeans,50,Sorghum-Rye,Wet,55,1,Medium,1102,Low,2
Corn,83,Barley-Oats,Wet,97,5,Low,2771,High,3
Corn,95,Wheat-Barley,Dry,86,5,High,4414,Low,8
Barley,77,Corn-Soybeans,Normal,89,4,Low,4159,Low,9
Rye,55,Sorghum-Rye,Normal,72,4,Medium,1413,High,4
Corn,79,Sorghum-Rye,Wet,90,3,Medium,4028,Medium,4
Sorghum,98,Wheat-Barley,Wet,96,5,High,1038,Medium,5
Sorghum,80,Wheat-Barley,Wet,53,2,High,2612,Medium,4
Rye,68,Sorghum-Rye,Wet,57,5,Medium,2538,Low,9
Rye,65,Corn-Soybeans,Dry,78,2,Low,2950,Low,3
Rye,91,Corn-Soybeans,Wet,56,1,Low,4938,High,5
Oats,59,Sorghum-Rye,Wet,64,3,High,3017,High,2
Wheat,92,Soybeans-Corn,Dry,60,5,Medium,1923,Medium,6
Barley,57,Barley-Oats,Wet,68,2,Medium,1254,High,3
Rye,56,Sorghum-Rye,Normal,99,3,Medium,3645,Low,5
Wheat,50,Soybeans-Corn,Wet,52,3,Medium,3059,High,1
Wheat,53,Wheat-Barley,Dry,71,2,High,4817,Low,1
Barley,60,Soybeans-Corn,Dry,69,2,Low,3031,High,3
Wheat,98,Soybeans-Corn,Dry,50,3,Low,2769,High,4
Oats,89,Barley-Oats,Dry,98,4,Low,3762,High,1
Barley,70,Sorghum-Rye,Wet,52,5,Medium,2677,Low,6
Soybeans,93,Soybeans-Corn,Normal,89,2,Low,4176,Low,3
Corn,85,Barley-Oats,Dry,89,4,Low,3892,Low,3
Wheat,50,Sorghum-Rye,Wet,87,2,Low,1644,Medium,4
Soybeans,94,Sorghum-Rye,Dry,97,4,Low,4778,Low,1
Soybeans,97,Soybeans-Corn,Wet,100,5,Low,1238,Medium,6
Wheat,60,Wheat-Barley,Dry,80,3,Medium,3967,Low,4
Soybeans,91,Corn-Soybeans,Normal,56,1,Medium,1739,Low,6
Rye,59,Soybeans-Corn,Wet,75,1,High,3954,Low,2
Oats,69,Corn-Soybeans,Dry,51,4,High,4422,High,9
Barley,55,Wheat-Barley,Normal,56,1,Low,3542,Medium,4
Oats,76,Sorghum-Rye,Normal,50,1,Low,2919,High,3
Sorghum,61,Corn-Soybeans,Dry,53,2,Low,1067,Low,7
Barley,83,Corn-Soybeans,Dry,55,4,Medium,1737,Low,10
Sorghum,92,Corn-Soybeans,Wet,84,1,Medium,3429,Medium,3
Sorghum,63,Barley-Oats,Normal,69,5,Low,2548,High,4
Oats,99,Corn-Soybeans,Normal,54,4,Low,1750,High,3
Rye,100,Soybeans-Corn,Dry,84,1,Low,4624,Low,5
Wheat,69,Soybeans-Corn,Wet,95,3,Medium,4866,Medium,5
Soybeans,89,Corn-Soybeans,Wet,70,1,Low,3794,Low,8
Corn,57,Soybeans-Corn,Wet,86,5,Medium,1374,Low,4
Corn,62,Sorghum-Rye,Wet,73,2,Medium,3996,Low,8
Oats,55,Sorghum-Rye,Wet,94,2,Low,3256,Low,1
Sorghum,84,Soybeans-Corn,Normal,53,1,Low,3982,Low,7
Rye,64,Soybeans-Corn,Normal,82,5,Medium,4535,High,1
Wheat,51,Corn-Soybeans,Normal,78,5,Medium,1374,High,6
Wheat,73,Soybeans-Corn,Normal,99,3,Low,1362,High,9
Soybeans,78,Sorghum-Rye,Dry,57,5,Low,3963,Low,2
Sorghum,83,Wheat-Barley,Dry,63,4,Medium,1300,Medium,1
Sorghum,73,Wheat-Barley,Dry,57,2,Low,3968,Medium,7
Soybeans,50,Sorghum-Rye,Normal,53,3,Medium,4585,Medium,2
