Soil_Type,pH_Level,Organic_Matter,Nitrogen,Phosphorus,Potassium,Water_Retention_Capacity,Soil_Texture,Soil_Structure,Soil_Depth,Crop
Sandy,10.27,42.85,69.09,71.92,49.11,78.0,Silt,Aggregated,57.97,Rice
Clay,5.46,72.9,43.86,5.97,39.8,73.8,Clay,Aggregated,53.16,Wheat
Clay,4.87,49.21,74.03,35.77,41.72,65.47,Clay,Compacted,23.45,Wheat
Clay,10.96,77.7,2.8,17.39,15.41,7.71,Silt,Aggregated,94.42,Corn
Loam,9.11,11.56,31.73,41.48,86.63,25.05,Clay,Compacted,23.28,Corn
Clay,10.77,48.09,79.77,28.27,43.34,0.98,Silt,Aggregated,68.13,Rice
Loam,6.94,26.83,83.71,27.05,53.01,17.54,Clay,Aggregated,89.11,Corn
Clay,7.43,21.23,52.09,16.01,91.91,99.43,Silt,Aggregated,30.99,Rice
Sandy,4.65,76.38,10.85,51.17,90.98,21.84,Sand,Aggregated,85.5,Corn
Clay,6.11,23.13,38.02,54.92,55.67,0.41,Sand,Aggregated,5.76,Wheat
Clay,2.96,39.89,24.09,34.35,51.31,66.66,Clay,Compacted,13.09,Wheat
Sandy,3.51,29.37,81.79,55.95,67.79,80.91,Silt,Aggregated,41.8,Rice
Loam,7.78,58.06,30.92,91.99,65.53,34.92,Clay,Compacted,52.0,Rice
Loam,8.33,71.52,51.76,35.2,63.28,87.31,Silt,Compacted,34.94,Corn
Loam,3.66,45.06,54.78,9.33,29.69,92.76,Silt,Aggregated,45.74,Rice
Clay,10.64,4.86,70.87,83.92,16.59,78.1,Clay,Compacted,99.26,Rice
Loam,3.47,48.82,50.24,40.34,18.11,4.8,Silt,Compacted,26.59,Rice
Sandy,11.59,33.71,92.76,75.07,57.41,75.16,Clay,Aggregated,85.94,Rice
Clay,2.06,13.84,39.94,42.43,56.22,12.22,Sand,Aggregated,81.16,Rice
Clay,11.94,65.55,46.27,56.5,42.39,28.82,Silt,Aggregated,69.07,Corn
Sandy,1.42,74.48,47.29,12.18,54.26,6.68,Sand,Compacted,99.61,Corn
Loam,4.95,49.3,97.94,32.35,18.96,30.52,Silt,Compacted,67.95,Corn
Sandy,11.49,60.3,65.52,74.77,53.56,10.92,Sand,Aggregated,17.23,Corn
