Temperature,Precipitation,Humidity,Wind Speed,Sunlight Hours,Solar radiation,Evapotranspiration rates,Historical weather events,Forecast data,crop
25.87,2.31,69.91,6.67,11.0,271.74,8.23,floods,26.17,Barley
28.16,0.34,69.11,3.3,13.86,162.18,7.34,frosts,22.02,Corn
34.31,1.5,77.44,15.5,8.57,247.25,4.62,frosts,12.65,Wheat
25.6,1.73,77.74,9.8,14.54,182.59,4.04,floods,19.25,Barley
14.2,2.41,51.21,6.25,11.12,101.86,7.59,frosts,16.93,Soybeans
18.25,1.22,74.84,19.15,12.07,267.91,5.57,droughts,34.4,Corn
11.34,2.64,63.52,7.14,9.84,400.15,9.66,droughts,26.28,Corn
13.78,1.96,70.97,18.25,10.21,374.27,12.7,normal,24.98,Corn
14.09,1.69,31.3,11.44,10.8,175.3,13.77,frosts,12.56,Rice
25.57,2.13,60.4,18.47,8.21,372.99,11.19,frosts,26.01,Rice
18.1,1.32,60.73,11.31,9.7,367.93,6.54,floods,31.21,Wheat
10.47,2.16,58.23,1.78,13.81,345.36,5.04,normal,19.54,Soybeans
20.47,1.55,66.11,15.94,9.9,359.02,5.39,normal,15.3,Barley
25.18,0.62,33.11,16.25,10.35,255.53,3.9,normal,13.87,Wheat
23.03,1.43,46.33,1.62,14.14,349.75,10.39,floods,16.25,Soybeans
28.42,1.13,39.07,15.28,13.48,391.47,4.44,normal,31.9,Wheat
23.34,1.47,35.36,16.9,12.62,119.88,13.85,droughts,27.16,Corn
34.4,1.12,84.5,16.23,13.68,382.7,12.19,floods,32.71,Barley
21.61,1.47,57.55,3.11,10.36,499.82,5.85,normal,20.45,Wheat
33.6,1.04,33.51,5.93,10.16,113.95,13.94,frosts,17.84,Rice
21.6,0.78,58.11,3.37,11.04,436.01,7.21,frosts,14.04,Corn
12.82,1.05,30.13,19.65,12.11,234.03,9.41,floods,25.09,Rice
27.59,1.43,80.23,16.22,14.36,270.75,8.45,floods,11.47,Barley
17.68,1.39,64.46,13.5,9.7,460.14,13.24,frosts,10.66,Rice
30.52,2.96,42.92,18.43,12.98,206.65,12.85,floods,15.45,Soybeans
34.29,1.72,76.3,10.07,11.29,159.66,13.83,normal,23.27,Rice
12.19,0.52,64.85,3.79,12.91,167.27,3.19,frosts,31.65,Wheat
17.74,2.36,56.24,1.55,9.24,438.35,5.84,normal,17.24,Rice
33.69,1.03,32.57,6.25,12.91,185.33,4.39,floods,17.23,Rice
21.03,0.85,83.59,4.64,13.88,236.32,7.55,droughts,32.65,Barley
30.99,2.85,57.91,3.76,11.87,283.27,9.03,droughts,22.67,Wheat
33.25,1.8,46.97,6.77,9.51,137.73,11.98,floods,22.3,Barley
27.03,1.15,69.24,11.87,10.05,308.86,14.93,frosts,12.2,Barley
30.35,1.65,70.68,12.25,11.68,266.2,14.09,frosts,16.81,Barley
27.75,1.86,71.49,6.44,8.11,231.64,10.66,droughts,14.64,Barley
25.9,0.07,36.57,12.64,8.89,393.78,11.98,floods,22.98,Wheat
15.95,1.99,80.79,8.36,12.62,310.14,13.91,normal,31.48,Wheat
27.14,0.3,31.17,8.46,12.68,114.43,4.58,floods,17.63,Corn
16.63,1.74,35.57,6.73,14.8,230.81,13.65,normal,19.03,Wheat
21.18,0.27,83.24,1.58,9.77,136.44,12.0,floods,27.87,Corn
17.18,1.79,33.24,1.91,10.6,230.68,5.49,frosts,16.72,Rice
21.52,2.89,31.55,4.06,14.33,329.55,6.63,droughts,11.56,Rice
16.94,2.61,67.68,8.87,12.08,111.07,7.65,droughts,24.7,Soybeans
14.63,1.37,79.02,14.72,9.9,273.35,11.36,droughts,28.98,Wheat
32.33,1.84,36.34,16.09,12.95,225.05,9.17,floods,11.82,Barley
24.1,2.23,59.2,3.95,8.4,331.44,10.59,floods,11.5,Corn
15.16,0.04,31.06,14.98,13.98,419.03,8.71,frosts,27.91,Barley
28.72,0.81,69.91,17.57,8.97,391.69,14.69,normal,13.22,Wheat
31.17,0.97,78.62,11.56,13.48,101.29,4.17,frosts,10.53,Corn
17.67,2.57,42.8,16.05,9.01,298.78,10.18,frosts,32.91,Corn
20.32,2.99,47.98,6.58,10.78,123.85,13.92,droughts,15.94,Rice
24.05,0.68,37.53,6.14,8.25,375.94,3.14,droughts,17.63,Soybeans
25.23,2.89,34.88,10.9,8.33,312.66,11.34,normal,17.75,Rice
20.66,1.65,79.19,2.99,13.11,176.89,4.08,floods,10.82,Rice
29.69,0.93,58.64,17.1,10.12,196.57,8.9,floods,20.71,Wheat
10.7,1.8,67.36,2.1,14.62,205.7,12.62,droughts,33.44,Wheat
30.52,2.59,32.67,12.45,9.35,146.48,11.58,droughts,15.61,Rice
32.79,1.79,76.58,19.19,12.07,300.19,11.53,floods,29.83,Rice
24.73,0.44,60.89,10.27,14.59,491.39,6.01,floods,11.05,Wheat
22.13,2.6,84.33,12.73,8.12,359.88,5.52,floods,28.31,Corn
34.25,0.17,61.53,5.02,9.42,111.23,6.54,normal,23.4,Barley
33.43,1.67,42.13,6.46,11.85,131.03,13.72,droughts,31.74,Corn
21.73,2.03,80.78,15.59,10.79,365.05,3.53,droughts,26.67,Barley
